iter	Passed	Remaining
402	13244	19620
403	13275	19585
404	13306	19549
405	13338	19514
406	13370	19480
407	13401	19445
408	13436	19415
409	13466	19378
410	13497	19343
411	13528	19307
412	13559	19272
413	13589	19235
414	13624	19206
415	13657	19172
416	13688	19137
417	13719	19102
418	13753	19071
419	13783	19034
420	13817	19003
421	13853	18974
422	13891	18949
423	13924	18916
424	13957	18883
425	13994	18856
426	14029	18826
427	14061	18792
428	14091	18755
429	14120	18718
430	14152	18683
431	14183	18648
432	14220	18620
433	14252	18587
434	14285	18555
435	14316	18520
436	14346	18483
437	14378	18448
438	14413	18419
439	14448	18388
440	14485	18361
441	14517	18327
442	14547	18290
443	14579	18257
444	14614	18227
445	14649	18196
446	14680	18162
447	14712	18128
448	14744	18094
449	14776	18060
450	14811	18029
451	14841	17993
452	14876	17963
453	14908	17929
454	14938	17893
455	14971	17860
456	15004	17827
457	15037	17794
458	15069	17761
459	15099	17725
460	15132	17692
461	15163	17657
462	15199	17629
463	15232	17595
464	15261	17558
465	15293	17525
466	15325	17491
467	15356	17456
468	15391	17425
469	15421	17390
470	15453	17356
471	15485	17323
472	15516	17287
473	15547	17253
474	15581	17221
475	15610	17184
476	15641	17150
477	15672	17115
478	15705	17082
479	15741	17053
480	15774	17020
481	15805	16986
482	15841	16956
483	15881	16931
484	15915	16900
485	15950	16868
486	15989	16842
487	16024	16812
488	16054	16777
489	16087	16743
490	16120	16711
491	16153	16679
492	16185	16645
493	16217	16611
494	16248	16577
495	16280	16542
496	16312	16509
497	16343	16475
498	16379	16445
499	16413	16413
500	16443	16378
501	16474	16343
502	16505	16308
503	16535	16273
504	16571	16243
505	16603	16210
506	16635	16175
507	16666	16141
508	16699	16108
509	16731	16075
510	16764	16042
511	16795	16007
512	16833	15980
513	16866	15947
514	16898	15914
515	16930	15880
516	16968	15852
517	17002	15820
518	17033	15786
519	17066	15753
520	17097	15719
521	17134	15690
522	17167	15657
523	17197	15622
524	17229	15588
525	17261	15555
526	17293	15521
527	17324	15487
528	17362	15458
529	17398	15428
530	17429	15394
531	17460	15360
532	17491	15325
533	17523	15292
534	17557	15260
535	17591	15228
536	17622	15194
537	17653	15159
538	17682	15123
539	17719	15094
540	17751	15060
541	17782	15026
542	17817	14995
543	17850	14962
544	17886	14932
545	17924	14904
546	17957	14871
547	17988	14837
548	18022	14805
549	18055	14772
550	18086	14738
551	18116	14703
552	18152	14673
553	18184	14639
554	18216	14605
555	18247	14571
556	18278	14537
557	18310	14503
558	18344	14472
559	18374	14437
560	18404	14402
561	18435	14367
562	18466	14334
563	18501	14302
564	18534	14270
565	18565	14235
566	18596	14201
567	18629	14168
568	18661	14135
569	18694	14103
570	18731	14073
571	18763	14040
572	18795	14006
573	18834	13977
574	18864	13943
575	18899	13912
576	18934	13880
577	18968	13848
578	18999	13814
579	19033	13782
580	19069	13752
581	19100	13718
582	19136	13687
583	19166	13653
584	19201	13621
585	19234	13588
586	19266	13555
587	19299	13522
588	19335	13491
589	19369	13460
590	19401	13426
591	19432	13392
592	19465	13359
593	19498	13327
594	19532	13295
595	19565	13262
596	19597	13228
597	19635	13199
598	19674	13171
599	19709	13139
600	19741	13105
601	19770	13071
602	19808	13041
603	19840	13008
604	19872	12974
605	19907	12943
606	19937	12908
607	19969	12874
608	20000	12841
609	20047	12817
610	20080	12784
611	20113	12751
612	20143	12716
613	20175	12683
614	20206	12649
615	20238	12616
616	20272	12584
617	20306	12551
618	20336	12517
619	20368	12483
620	20400	12450
621	20430	12415
622	20460	12381
623	20494	12349
624	20527	12316
625	20558	12282
626	20590	12249
627	20622	12215
628	20653	12182
629	20690	12151
630	20720	12116
631	20752	12083
632	20791	12054
633	20831	12025
634	20872	11997
635	20910	11967
636	20942	11934
637	20975	11901
638	21005	11866
639	21038	11834
640	21074	11802
641	21105	11769
642	21135	11734
643	21167	11701
644	21197	11666
645	21228	11632
646	21262	11600
647	21295	11567
648	21328	11534
649	21360	11501
650	21388	11466
651	21422	11434
652	21458	11402
653	21487	11368
654	21519	11334
655	21551	11301
656	21585	11269
657	21617	11236
658	21653	11204
659	21685	11171
660	21716	11137
661	21749	11104
662	21786	11073
663	21821	11042
664	21855	11009
665	21886	10976
666	21919	10943
667	21950	10909
668	21983	10876
669	22013	10842
670	22046	10809
671	22080	10777
672	22111	10743
673	22142	10709
674	22173	10676
675	22209	10644
676	22240	10611
677	22274	10578
678	22305	10545
679	22336	10511
680	22367	10477
681	22399	10444
682	22432	10411
683	22463	10377
684	22494	10344
685	22527	10311
686	22559	10278
687	22591	10244
688	22624	10212
689	22655	10178
690	22687	10145
691	22719	10112
692	22753	10080
693	22786	10047
694	22825	10017
695	22861	9985
696	22896	9953
697	22930	9921
698	22962	9887
699	22994	9854
700	23028	9822
701	23059	9788
702	23092	9756
703	23125	9723
704	23156	9689
705	23194	9658
706	23226	9625
707	23259	9593
708	23290	9559
709	23321	9525
710	23353	9492
711	23385	9459
712	23419	9426
713	23451	9393
714	23485	9361
715	23517	9328
716	23548	9294
717	23581	9261
718	23615	9229
719	23647	9196
720	23680	9163
721	23711	9129
722	23745	9097
723	23782	9066
724	23814	9033
725	23846	8999
726	23878	8966
727	23913	8934
728	23945	8901
729	23978	8868
730	24012	8836
731	24045	8803
732	24077	8770
733	24111	8737
734	24140	8703
735	24172	8670
736	24207	8638
737	24239	8605
738	24271	8572
739	24303	8539
740	24336	8506
741	24378	8476
742	24412	8444
743	24443	8410
744	24479	8378
745	24518	8347
746	24548	8314
747	24584	8282
748	24617	8249
749	24650	8216
750	24682	8183
751	24712	8150
752	24750	8118
753	24788	8087
754	24821	8054
755	24853	8021
756	24889	7989
757	24920	7956
758	24951	7922
759	24981	7889
760	25016	7856
761	25047	7823
762	25077	7789
763	25111	7756
764	25142	7723
765	25173	7690
766	25208	7657
767	25240	7624
768	25271	7591
769	25303	7558
770	25334	7524
771	25368	7492
772	25401	7459
773	25433	7426
774	25465	7393
775	25496	7359
776	25527	7326
777	25559	7293
778	25596	7261
779	25630	7229
780	25660	7195
781	25691	7162
782	25726	7129
783	25763	7098
784	25800	7066
785	25832	7033
786	25864	7000
787	25898	6967
788	25929	6934
789	25962	6901
790	25995	6868
791	26028	6835
792	26059	6802
793	26089	6768
794	26123	6736
795	26159	6704
796	26191	6671
797	26222	6637
798	26255	6604
799	26288	6572
800	26321	6539
801	26356	6506
802	26391	6474
803	26421	6441
804	26453	6407
805	26483	6374
806	26515	6341
807	26549	6308
808	26583	6276
809	26619	6244
810	26650	6210
811	26681	6177
812	26718	6145
813	26751	6112
814	26792	6081
815	26829	6049
816	26866	6017
817	26904	5986
818	26940	5953
819	26979	5922
820	27016	5890
821	27054	5858
822	27093	5826
823	27135	5796
824	27178	5765
825	27220	5734
826	27258	5702
827	27296	5670
828	27339	5639
829	27376	5607
830	27409	5574
831	27443	5541
832	27482	5509
833	27518	5477
834	27550	5444
835	27590	5412
836	27623	5379
837	27659	5347
838	27692	5313
839	27724	5280
840	27763	5248
841	27798	5216
842	27839	5184
843	27873	5151
844	27906	5118
845	27942	5086
846	27977	5053
847	28009	5020
848	28041	4987
849	28072	4953
850	28107	4921
851	28145	4889
852	28183	4856
853	28215	4823
854	28248	4790
855	28282	4757
856	28318	4725
857	28357	4693
858	28393	4660
859	28429	4628
860	28461	4594
861	28493	4561
862	28528	4528
863	28567	4496
864	28599	4463
865	28631	4430
866	28661	4396
867	28695	4363
868	28728	4330
869	28762	4297
870	28797	4265
871	28831	4232
872	28863	4198
873	28894	4165
874	28927	4132
875	28959	4099
876	28994	4066
877	29027	4033
878	29060	4000
879	29091	3967
880	29121	3933
881	29155	3900
882	29197	3868
883	29230	3835
884	29262	3802
885	29293	3769
886	29327	3736
887	29361	3703
888	29394	3670
889	29426	3637
890	29458	3603
891	29491	3570
892	29530	3538
893	29576	3506
894	29608	3473
895	29639	3440
896	29674	3407
897	29708	3374
898	29741	3341
899	29774	3308
900	29809	3275
901	29842	3242
902	29875	3209
903	29906	3175
904	29940	3142
905	29974	3109
906	30007	3076
907	30077	3047
908	30112	3014
909	30147	2981
910	30177	2948
911	30213	2915
912	30246	2882
913	30276	2848
914	30312	2815
915	30345	2782
916	30379	2749
917	30412	2716
918	30444	2683
919	30476	2650
920	30509	2617
921	30542	2583
922	30578	2550
923	30613	2517
924	30646	2484
925	30675	2451
926	30710	2418
927	30744	2385
928	30776	2352
929	30808	2318
930	30841	2285
